검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,언어
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","오픽노잼 :스크립트 없이 오픽 쌉가능 ","지은이: 오픽노잼","오픽노잼","2021","","9791197341311","13740","740.77","689",
"2","컬티시 :광신의 언어학 ","어맨다 몬텔 지음 ;이민경 옮김","Arte(북이십일 아르테)","2023","","9788950991531","03300","701.013","501",
"3","(지적이고 아름다운 삶을 위한) 라틴어 수업 ","한동일 지음","흐름출판","2017","","9788965962205","03100","792.2","448",
"4","빨모쌤의 라이브 영어회화 :맥락과 뉘앙스가 살아나는 진짜 영어 말하기 수업 ","신용하 지음","웅진씽크빅","2024","","9788901281797","13740","747.5","413",
"5","(김재우의) 영어회화 100 :100일 후, 당신의 입에서 나오는 영어에 놀랄 것이다! ","김재우 지음","상상스퀘어","2023","","9791192389172","13740","747.5","371",
"6","오픽노잼 투 :오픽 불편러들을 위한 답변의 기술 ","지은이: 오픽노잼","위트앤위즈덤","2021","","9788962818802","13740","740.77","340",
"7","일본어 무작정 따라하기 :완전판 =The cakewalk series-Japanese conversation : the perfect edition ","후지이 아사리 지음","길벗","2022","","9791165219956","03730","730","336",
"8","(술술 읽고 정확히 이해하고 싶은) 요즘 어른을 위한 최소한의 문해력 ","글·그림: 이주윤","빅피시","2024","","9791193128756","03800","710","306",
"9","해커스 토익 :기출 보카 ","지은이: David cho","해커스 어학연구소","2019","","9788965422785","13740","740.77","304",
"10","거의 모든 일상 표현의 영어 ","케빈 강,해나 변 지음","사람in","2022","","9788960499751","14740","747.5","286",
"11","애쓰지 않고 편안하게","김수현","놀(다산북스)","2020","","9791130629636","13740","189","284",
"12","(요즘 어른을 위한) 최소한의 맞춤법 :읽을수록 교양이 쌓이는 문해력 필수 어휘 70 ","글·그림: 이주윤","빅피시","2023","","9791191825848","03800","711.25","275",
"13","영어책 한 권 외워봤니? :딱 한 권만 넘으면 영어 울렁증이 사라진다 ","김민식 지음","위즈덤하우스","2017","","9788960863132","03320","740","259",
"13","우리말 어감사전 :말의 속뜻을 잘 이해하고 표현하는 법 ","안상순 지음","유유","2021","","9791189683887","03710","714","259",
