검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","03900","909","1,955",
"2","(5천년 역사가 단숨에 이해되는) 최소한의 한국사 ","최태성 지음","프런트페이지","2023","","9791198243430","03910","911","1,288",
"3","(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사 ","임소미 지음","빅피시","2023","","9791193128428","03900","909","1,230",
"4","역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ","최태성 지음","다산북스","2019","","9791130621968","03900","904","1,138",
"5","거꾸로 읽는 세계사 ","유시민 지음","돌베개","2021","","9791191438406","03900","909","678",
"6","인간의 흑역사 ","지은이: 톰 필립스 ;옮긴이: 홍한결","윌북","2019","","9791155812396","03900","900","655",
"7","예루살렘의 아이히만","한나 아렌트 지음;김선욱 옮김","한길사","2006","","9788935656615","94160","909.54","574",
"8","전쟁은 여자의 얼굴을 하지 않았다 =War's unwomanly face ","스베틀라나 알렉시예비치 지음 ;박은정 옮김","문학동네","2015","","9788954637954","03890","909.53082","461",
"9","나의 한국현대사 :1959-2020 ","유시민 지음","돌베개","2021","","9788971999080","03910","911.07","340",
"10","(1일 1페이지, 세상에서 가장 짧은) 교양 수업 365 ","데이비드 S. 키더,허성심 옮김","위즈덤하우스 미디어그룹","2019","","9791190305679","03030","909","339",
"11","21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가 ","지은이: 유발 하라리 ;옮긴이: 전병근","김영사","2018","","9788934982975","03900","909.6","317",
"12","리얼 타이베이 :2023~2024년 최신판 ","김홍래 지음","한빛라이프","2023","","9791190846561","14980","981.2402","314",
"13","역사란 무엇인가 ","저자: E.H. 카 ;역자: 김택현","까치","2015","","9788972915812","03900","901","308",
"14","리얼 도쿄 :2023~2024년 최신판 ","양미석 지음","한빛라이프","2023","","9791190846585","14980","981.32302","307",
"14","디스 이즈 도쿄 =This is Tokyo ","글·사진: 박설희,김민정","Terra(테라)","2023","","9791192767048","13980","981.32302","307",
"16","리얼 오사카 :2023~2024년 최신판 ","지은이: 황성민,지도·일러스트: 이예연","한빛라이프","2022","","9791190846523","14980","981.32802","306",
"17","유럽도시기행","지은이: 유시민","아름다운사람들","2019","1","9788965135586","03900","982.02","290",
"18","유럽도시기행","지은이: 유시민","아름다운사람들","2019","2","9788965137702","03900","982.02","288",
"19","설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ","지은이: 설민석","세계사","2016","","9788933870693","03910","911.052","280",
"20","여기 가려고 주말을 기다렸어 :기분과 취향 따라 떠나는 로컬힙 여행지 300 ","주말랭이 지음","빅피시","2023","","9791191825985","13980","981.102","244",
"21","최태성 한국사 수업 :한국사 강의가 책에서 들린다 ","지은이: 최태성 ;그린이: 신동민","메가스터디","2018","","9791129701855","13910","911","238",
"22","(수천 년 세계사의 흐름이 통째로 이해되는) 요즘 어른을 위한 최소한의 전쟁사 ","김봉중 지음","빅피시","2024","","9791193128787","03900","909","235",
"23","(효기심의) 권력으로 읽는 세계사 :세상을 움직이는 힘을 이해하는 가장 솔직한 안내서","효기심 지음","다산북스","2023","","9791130642147","04900","920","232",
"23","다시, 역사의 쓸모 :합리적이고 품위 있는 선택을 위한 20가지 지혜 ","최태성 지음","프런트페이지","2024","","9791193401217","03900","904","232",
"25","아는 만큼 보인다 :한 권으로 읽는 나의 문화유산답사기 ","유홍준 지음","창비","2023","","9788936479381","03810","981.102","229",
"26","(현실은 엉망이지만 그럼에도 불구하고) 제 마음대로 살아보겠습니다 ","글·사진: 이원지","상상출판","2019","","9791189856540","13980","980.24","226",
"27","세상에서 가장 짧은 한국사 :읽는 것만으로 역사의 흐름이 머릿속에 들어온다 ","김재원 지음","빅피시","2022","","9791191825404","03910","911","223",
"28","썬킴의 거침없는 세계사 :전쟁으로 읽는 역사 이야기 ","썬킴 지음","넥서스","2021","","9791166830518","03900","909","222",
"29","(프렌즈) 후쿠오카 =최신판 '23~'24 /Fukuoka ","정꽃나래,정꽃보라 지음","중앙일보에스","2023","","9788927879596","14980","981.3402","217",
"30","독살로 읽는 세계사 :중세 유럽의 의문사부터 김정남 암살 사건까지, 은밀하고 잔혹한 역사의 뒷골목 ","엘리너 허먼 지음 ;솝희 옮김","현대지성","2021","","9791166814198","03900","909","215",
"31","디스 이즈 오사카 =오사카 교토 고베 나라 /This is Osaka ","글·사진: 호밀씨","Terra(테라)","2022","","9791192767000","13980","981.32802","209",
"32","사피엔스 :그래픽 히스토리","원작·각색: 유발 하라리 ;옮긴이: 김명주","김영사","2020","1","9788934991328","07900","909","202",
"32","세계를 움직인 열 가지 프레임 :현대 문명의 본질과 허상을 단숨에 꿰뚫는 세계사 ","수바드라 다스 지음 ;장한라 옮김","북하우스 퍼블리셔스","2024","","9791164052547","03900","909","202",
"34","컬처 :하버드대 마틴 푸크너의 인류 문화 오디세이 ","마틴 푸크너 지음 ;허진 옮김","어크로스(어크로스출판그룹)","2024","","9791167741370","03900","909","200",
"35","사피엔스 :출간 10주년 기념 양장 특별판 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2023","","9788934943235","03900","909","195",
"35","시민의 한국사 ","한국역사연구회 지음","돌베개","2022","1","9791191438642","04910","911","195",
"37","진실의 흑역사 :인간은 입만 열면 거짓말을 한다 ","톰 필립스 지음 ;홍한결 옮김","윌북","2020","","9791155813195","03900","900","192",
"38","곰브리치 세계사 :예일대 특별판 ","에른스트 H. 곰브리치 글 ;박민수 옮김","비룡소","2019","","9788949189536","43900","909","186",
"38","리얼 교토 :교토를 가장 멋지게 여행하는 방법 ","황성민,정현미 지음","한빛라이프","2022","","9791188007530","14980","981.32802","186",
"40","행복의 지도 :세상에서 가장 행복한 곳을 찾아 떠난 여행 ","에릭 와이너 지음 ;김승욱 옮김","어크로스(어크로스출판그룹)","2021","","9791167740021","03100","980.24","182",
"41","디스 이즈 오사카 =2023-2024년 최신판 /This is Osaka ","글·사진: 호밀씨","Terra(테라)","2023","","9791192767079","13980","981.32802","178",
"42","아주 짧은 소련사 :러시아혁명부터 페레스트로이카까지, 순식간에 사라진 사회주의 실험의 역사적 현장 ","실라 피츠패트릭 지음 ;안종희 옮김","롤러코스터","2023","","9791191311273","03920","929.07","177",
"43","(최태성의) 만화 한국사","강의·글: 최태성 ;글·그림: 김연큐","메가스터디books","2021","1","9791129706812","14910","911","176",
"44","세상에서 가장 짧은 세계사 :2,000년 유럽의 모든 역사를 이해하기 위한 최소한의 지식 ","존 허스트 지음 ;김종원 옮김","위즈덤하우스","2017","","9791162201046","03900","909","173",
"45","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀 지음 ;한희숙 지음","프런트페이지","2022","","9791197871214","04910","911","171",
"46","(지금 바로,) 도쿄 =2023 최신판 /Tokyo ","이주호,이진천 찍고 쓰다","혜지원","2023","","9791167640468","13980","981.32302","169",
