검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,예술
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 ","조원재 지음","백도씨","2018","","9788968331862","03600","650.4","829",
"2","모국어는 차라리 침묵 :목정원 산문 ","지은이: 목정원","아침달","2021","","9791189467302","03600","600.04","735",
"3","당신은 사건 현장에 있습니다 :일러스트 한 장으로 즐기는 추리 게임 ","글: 모데스토 가르시아 ;번역: 엄지영","중앙일보에스","2022","","9788927812975","03030","691.9","715",
"4","김락희의 인체 드로잉 :도형화 부터 해부학, 동세까지 단계별로 배운다! ","김락희 지음","성안당","2019","","9788931588507","13600","656.2","637",
"5","나는 앞으로 몇 번의 보름달을 볼 수 있을까 ","지은이: 류이치 사카모토 ;옮긴이: 황국영","위즈덤하우스","2023","","9791168126541","03830","670.4","625",
"6","당신은 사건 현장에 있습니다 :일러스트 한 장으로 즐기는 추리 게임 ","글: 모데스토 가르시아 ;번역: 엄지영","중앙일보에스","2023","2","9788927879718","03030","691.9","590",
"7","모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학 ","손웅정 지음","수오서재","2021","","9791190382502","03810","695.404","550",
"8","정확한 사랑의 실험 ","지은이: 신형철","마음산책","2014","","9788960902039","03810","688.09","510",
"9","인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학 ","김성근 지음","다산북스","2023","","9791130648385","03810","695.704","473",
"10","다른 방식으로 보기 ","존 버거 [지음] ;최민 옮김","열화당","2012","","9788930104272","03840","604","417",
"11","우리 대화는 밤새도록 끝이 없지 :두 젊은 창작가의 삶과 예술적 영감에 관하여 ","지은이: 허휘수,서솔","상상출판","2023","","9791167821638","03810","600.4","415",
"12","일러스트 초고속 성장법 :사이토 나오키 3개월 연습법 ","사이토 나오키 지음 ;김재훈 옮김","잉크잼","2023","","9788979293791","13650","657.1","366",
"13","방구석 미술관","조원재 지음","백도씨","2020","2","9788968332845","03600","650.4","352",
"13","번역: 황석희 :번역가의 영화적 일상 에세이 ","글: 황석희","달 출판사","2023","","9791158161743","03810","688.1304","352",
"15","잘 그리기 금지 :쉽고 빠르게 그림 실력을 레벨 업 시키는 방법 ","지은이: 사이토 나오키 ;역자: 박수현","이종","2022","","9788979293470","13650","656","349",
"15","창작형 인간의 하루 :찰나의 영감이 최고의 콘텐츠가 되기까지 필요한 습관 ","임수연 지음","빅피시","2023","","9791193128435","03680","600.04","349",
"17","김이나의 작사법 :우리의 감정을 사로잡는 일상의 언어들 ","지은이: 김이나","문학동네","2015","","9788954635608","03810","673.511","347",
"18","(해부학부터 옷 주름까지 배우는) 자연스러운 인체 드로잉 ","박경선 지음","동양북스","2022","","9791157685271","13600","656","320",
"19","영화를 찍으며 생각한 것 :고레에다 히로카즈 영화자서전 ","지은이: 고레에다 히로카즈 ;옮긴이: 이지수","바다출판사","2017","","9788955619478","03680","688.099","307",
"20","재즈의 계절 :자신의 삶을 사는 사람은 기꺼이 재즈를 선택한다 ","김민주 지음","북스톤","2022","","9791191211795","03800","673.5304","292",
"21","디자이너의 일상과 실천 =A designer's everyday and practice ","지은이: 권준호","안그라픽스","2023","","9791168232105","03600","658.04","291",
"22","내가 사랑한 화가들 :살면서 한 번은 꼭 들어야 할 아주 특별한 미술 수업 ","정우철 지음","나무의철학","2021","","9791158512132","03600","650.4","268",
