검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,종교
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ","비욘 나티코 린데블라드 지음 ;박미경 옮김","다산북스","2022","","9791130689890","03100","220.4","1,843",
"2","팀 켈러, 결혼을 말하다 ","팀 켈러 지음 ;최종훈 옮김","두란노","2014","","9788953120501","03230","234.9","354",
"3","만들어진 신 :신은 과연 인간을 창조했는가? ","리처드 도킨스 [지음] ;이한음 옮김","김영사","2007","","9788934926184","03400","204.21","314",
"4","삶으로 다시 떠오르기 ","지은이: 에크하르트 톨레 ;옮긴이: 류시화","연금술사","2013","","9791195026128","03840","214","274",
"5","신, 만들어진 위험 :신의 존재를 의심하는 당신에게 ","지은이: 리처드 도킨스 ;옮긴이: 김명주","김영사","2021","","9788934989653","03400","204.21","242",
"6","(팀 켈러의) 내가 만든 신 :하나님의 자리를 훔치다 ","팀 켈러 지음 ;윤종석 옮김","두란노서원","2017","","9788953128286","03230","234.13","240",
"7","법륜 스님의 반야심경 강의 ","지은이: 법륜","정토출판","2022","","9791187297413","03220","223.53","200",
"8","배움의 발견 :나의 특별한 가족, 교육, 그리고 자유의 이야기 ","타라 웨스트오버 지음 ;김희정 옮김","열린책들","2020","","9788932919553","03840","230.99","191",
"9","술 취한 코끼리 길들이기 :마음속 108마리 코끼리 이야기 ","지은이: 아잔 브라흐마 ;옮긴이: 류시화","연금술사","2013","","9791195026135","03840","224.3","187",
"10","일과 영성 =인간의 일과 하나님의 역사 사이의 줄 잇기 /Faith & work ","팀 켈러,최종훈 옮김","두란노서원","2013","","9788953119901","03230","234.8","182",
"11","북유럽 신화 ","닐 게이먼 지음 ;박선령 옮김","나무의철학","2017","","9791158510688","03210","219.23","165",
"12","무소유","법정","범우사","2005","","9788908041318","03810","220.4","159",
"13","될 일은 된다 :내맡기기 실험이 불러온 엄청난 성공과 깨달음 ","마이클 A. 싱어 지음 ;김정은 옮김","정신세계사","2016","","9788935704019","03190","214","158",
"14","(근심 걱정이 사라지고 인생이 편안해지는) 반야심경 마음공부 ","페이융 지음 ;허유영 옮김","유노북스","2021","","9791190826556","03150","223.53","157",
"15","내가 틀릴 수도 있습니다 =큰글자도서 /I may be wrong ","비욘 나티코 린데블라드 지음 ;박미경 옮김","다산북스","2022","","9791130689999","03100","220.4","150",
"16","도덕적 인간과 비도덕적 사회 ","라인홀드 니버 지음 ;이한우 옮김","문예출판사","2017","","9788931000023","93340","234.1","149",
"16","인문학을 좋아하는 사람들을 위한 불교수업 :연기·공·유식·선은 어떻게 삶이 되는가! ","김사업 지음","불광출판사","2017","","9788974793739","03150","221","149",
"16","그럼에도 왜 사느냐 묻는다면 ","미나미 지키사이 지음 ;백운숙 옮김","서사원","2023","","9791168221741","03830","228.7","149",
"19","5가지 사랑의 언어 ","게리 채프먼 지음 ;황을호 옮김","생명의말씀사","2010","","9788904141180","03230","234.9","132",
"20","순전한 기독교 ","C. S. 루이스 지음 ;이종태 옮김","홍성사","2018","","9788936513269","03230","231","130",
"21","(인문학을 좋아하는 사람들을 위한) 반야심경 ","야마나 테츠시 지음 ;최성현 옮김","불광출판사","2020","","9788974797959","03150","223.53","129",
"22","김헌의 그리스 로마 신화 ","지은이: 김헌","을유문화사","2022","","9788932474649","03210","219.2","125",
"23","스크루테이프의 편지","C.S. 루이스 지음;김선형 옮김","홍성사","2000","","9788936501761","03230","231.23","117",
"24","진짜 나를 찾아라 ","지은이: 법정","샘터(샘터사)","2024","","9788946422728","03810","224.2","116",
"25","사후세계를 여행하는 모험가를 위한 안내서 :천국과 지옥 그리고 연옥까지, 인류가 상상한 온갖 저세상 이야기 ","켄 제닝스 지음 ;고현석 옮김","세종(세종서적)","2023","","9788984078239","03030","211.6","112",
"26","이제서야 이해되는 불교 :단숨에 읽어지고 즐겁게 깨치는 원영 스님의 불교 수업 ","원영 지음","불광출판사","2023","","9791192997254","03220","220.4","107",
"27","왜 일하는가? :밥벌이 삶 영성을 말하다 ","지은이: 조정민","두란노서원","2017","","9788953128569","03230","234.8","104",
"28","(에크하르트 톨레의) 이 순간의 나 ","에크하르트 톨레 지음 ;최린 옮김","센시오","2019","","9791190356152","03840","214","102",
"29","부자수업 :진정한 부에 이르는 쉽고 강력한 법칙 ","법상 지음","마음의숲","2023","","9791162851449","03810","220.4","100",
"30","스크루테이프의 편지","C. S. 루이스 지음;김선형 옮김","홍성사","2005","","9788936506940","03230","234.4","98",
"30","조정민의 답답답 :답답함에 답하다 ","조정민 지음","두란노(두란노서원)","2022","","9788953143227","04230","234.8","98",
"32","(팀 켈러의) 기도 ","팀 켈러 지음 ;최종훈 옮김","두란노","2015","","9788953122147","03230","237.2","90",
"32","(팀 켈러의) 탕부 하나님 :예수 복음의 심장부를 찾아서 ","팀 켈러 지음 ;윤종석 옮김","두란노서원","2016","","9788953125780","03230","233.68","90",
"32","세상의 모든 이야기는 신화에서 시작되었다 ","오키타 미즈호 지음 ;이정미 옮김","콘텐츠그룹 포레스트","2024","","9791193506578","03100","219","90",
"35","생각 버리기 연습 ","코이케 류노스케 지음 ;유윤한 옮김","북이십일 21세기북스","2010","","9788950926298","03400","224.3","89",
"36","하나님의 열심 :믿음은 어디서 오는가 ","박영선 지음","남포교회출판부","2017","","9791187506072","03230","233.099","85",
"37","(팀 켈러의) 인생 질문 ","팀 켈러 지음 ;윤종석 옮김","두란노서원","2019","","9788953135925","03230","232.8","84",
"37","하나님, 저 잘 살고 있나요? :충분히 빛나고 있는 당신을 위한 일상 묵상 ","지은이: 전대진 ;그린이: 김유림","넥서스","2022","","9791166832130","03230","234.82","84",
"37","신의 역사 :신의 탄생과 정신의 모험 ","지은이: 카렌 암스트롱 ;유지황","교양인","2023","","9791193154069","03900","211.11","84",
"40","팀 켈러, 고통에 답하다 :예수와 함께 통과하는 인생의 풀무불 ","팀 켈러 지음 ;최종훈 옮김","두란노","2018","","9788953130586","03230","234.8","83",
"41","팀 켈러, 하나님을 말하다 :하나님에 대한 오해와 진실 ","팀 켈러 지음 ;최종훈 옮김","두란노서원","2017","","9788953128675","03230","231.1","82",
"42","(팀 켈러의) 용서를 배우다 :왜 해야 하며 어떻게 해야 하는가 ","팀 켈러 지음 ;윤종석 옮김","두란노(두란노서원)","2022","","9788953143340","03230","231.45","81",
"42","신화의 숲 :신비로운 옛 신전이 품은 26가지 이야기 씨앗 ","김헌 지음","콘텐츠그룹 포레스트","2024","","9791193506448","43160","219","81",
"44","하나님의 때 =하나님의 완벽한 때를 기다리는 당신을 위한 묵상집 /God's timing for your life ","글·그림: 햇살콩,김연선","규장","2019","","9788960975835","03230","234.2","80",
"44","종교의 흑역사 :우리가 지금까지 몰랐던 절반의 세계사 ","오무라 오지로 지음 ;송경원 옮김","유노콘텐츠그룹","2023","","9791192300757","03900","209","80",
"44","(강남길의 명화와 함께 후루룩 읽는) 그리스 로마 신화 ","엮은이: 강남길","Delphi Studio(델피 스튜디오)","2023","1","9791197678332","03890","219.21","80",
"47","법구경 마음공부 :걱정 많은 삶을 평온하게 바꾸는 법 ","정운 지음","유노콘텐츠그룹","2024","","9791171830237","03220","223.52","78",
"48","팬인가, 제자인가 ","카일 아이들먼 지음 ;정성묵 옮김","두란노서원","2012","","9788953117464","03230","234.3","77",
"48","하나님, 그래서 그러셨군요! ","신애라 지음","규장","2024","","9791165045258","03230","234.8","77",
"50","하나님의 성격 수업 :기질대로 살던 나를 넘어 예수님의 완전한 성품을 만나는 여정 ","서창희 지음","생명의말씀사","2024","","9788904168620","03230","235.84","76",
"50","법륜스님의 금강경 강의 :金剛般若波羅蜜經 ","지은이: 법륜","정토출판사","2012","","9788985961714","03220","223.53","76",
"52","좋은 말씀 :법정 스님 법문집 ","지은이: 법정 ;엮은이: 맑고 향기롭게","시공사","2020","","9788952786005","03810","220.4","75",
"53","그리스 로마 신화 신박한 정리 :만만하게 단단하게 탄탄하게 신화 읽는 법 ","지은이: 박영규","김영사","2023","","9788934951582","03210","219.21","74",
"54","그리스인들은 신화를 믿었는가? :구성적 상상력에 관한 에세이 ","지은이: 폴 벤느 ;옮긴이: 김현경","필로소픽","2023","","9791157832910","93100","219.21","73",
"54","그리스 로마 신화 :신들의 사생활 ","<그리스 로마 신화-신들의 사생활> 제작팀 지음","Dankkum i(단꿈아이)","2022","","9791191496710","03210","219.21","73",
"54","금강경 마음공부 :불안과 두려움을 다스리고 초조하지 않게 사는 법 ","페이융 지음 ;허유영 옮김","유노콘텐츠그룹","2023","","9791192300580","03220","223.53","73",
"57","이윤기의 그리스 로마 신화 1 - 신화를 이해하는 12가지 열쇠","이윤기","웅진지식하우스","2000","1","9788901072395","04210","219.2","72",
"57","어웨이크 =이 새벽, 세상에 나서기 전 하나님과 둘만의 시간 /Awake ","김유진 지음","미래엔","2022","","9791168412606","03230","234.8","72",
"59","북유럽 신화 ","닐 게이먼 지음 ;박선령 옮김","나무의 철학","2021","","9791158511180","03210","219.23","70",
"59","프로테스탄트 윤리와 자본주의 정신 ","막스 베버 지음 ;박문재 옮김","현대지성","2018","","9791187142454","03300","235.8","70",
"61","이윤기의 그리스 로마 신화 =합본판 /Greek and Roman mythology ","이윤기 지음","웅진씽크빅","2020","","9788901241739","03210","219.2","69",
"62","믿는 인간에 대하여 :라틴어 수업, 두 번째 시간 =De homine credente : lectiones linguae Latinae pars secunda ","한동일 지음","흐름출판","2021","","9788965964674","03100","201","68",
"62","지금 여기 깨어있기 :법륜 스님의 깨달음 이야기 ","지은이: 법륜","정토출판","2014","","9788985961851","03220","224.8","68",
"62","세계 종교의 역사 :인간이 묻고 신이 답하다 ","리처드 할러웨이 지음 ;이용주 옮김","소소의책","2018","","9791188941001","03900","209","68",
"65","무신론자를 위한 종교 ","저자: 알랭 드 보통 ;역자: 박중서","청미래","2011","","9788986836431","03840","204.21","67",
"65","최초의 신화 길가메쉬 서사시 =국내 최초 수메르어·악카드어 원전 통합 번역 /The epic of Gilgamesh ","김산해 지음","휴머니스트 출판그룹","2020","","9791160803952","03910","219.19","67",
"67","문명으로 읽는 종교 이야기 :기독교, 유대교, 이슬람교, 불교, 힌두교 탄생의 역사 ","홍익희 지음","행성B(행성비)","2019","","9791164710041","03900","209","65",
"67","존재하지 않는 것들의 세계사 :인류를 바꾼 98가지 신화 이야기 ","양승욱 지음","탐나는책","2021","","9791189550523","03900","219","65",
"69","순전한 기독교","C.S. 루이스 지음;이종태 [공]옮김","홍성사","2001","","9788936501853","03230","231","64",
"70","축의 시대 :종교의 탄생과 철학의 시작 ","지은이: 카렌 암스트롱 ;옮긴이: 정영목","교양인","2010","","9788991799561","03900","209","63",
"71","살아있는 한국 신화 ","지은이: 신동흔","한겨레출판","2014","","9788984317925","03380","219.11","62",
"71","신화의 언어 :통념의 전복, 신화에서 길어 올린 서른 가지 이야기 ","조현설 지음","한겨레출판","2020","","9791160403619","03380","219.1","62",
"73","(팀 켈러의) 답이 되는 기독교 :현대 세속주의를 의심하다 ","팀 켈러 지음 ;윤종석 옮김","두란노","2018","","9788953130296","03230","231","61",
