검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,철학
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ","요한 하리 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2023","","9791167740984","03180","181.27","3,403",
"2","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","03180","181.71","2,740",
"3","다정한 것이 살아남는다 ","지은이: 브라이언 헤어,옮긴이: 이민아","디플롯","2021","","9791197413025","03400","182.4","2,557",
"4","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","03190","181.845","2,260",
"5","더 좋은 삶을 위한 철학 ","지은이: 마이클 슈어 ;옮긴이: 염지선","김영사","2023","","9788934965909","03190","190","1,588",
"6","자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ","윤홍균 지음","심플라이프","2016","","9791186757093","03190","182.1","1,569",
"7","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ","기시미 이치로,전경아 옮김","인플루엔셜","2014","","9788996991342","13180","189.2","1,516",
"8","사랑의 기술 ","에리히 프롬 지음 ;황문수 옮김","문예출판사","2019","","9788931011623","03180","181.71","1,452",
"9","소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간 ","에릭 와이너 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2021","","9791190030922","03100","102","1,415",
"10","신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ","마크 맨슨 지음 ;한재호 옮김","웅진씽크빅","2017","","9788901219943","03190","199.1","1,380",
"11","당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘 ","아르투어 쇼펜하우어 지음 ;김욱 편역","콘텐츠그룹 포레스트","2023","","9791192625553","03100","165.47","1,357",
"12","정의란 무엇인가 ","지은이: 마이클 샌델 ;옮긴이: 김명철","미래엔","2014","","9788937834790","03300","193","1,196",
"13","우리는 여전히 삶을 사랑하는가 ","지은이: 에리히 프롬 ;옮긴이: 장혜경","김영사","2022","","9788934949671","03180","181.71","1,165",
"14","데일 카네기 자기관리론 ","데일 카네기 지음 ;임상훈 옮김","현대지성","2021","","9791191280333","03320","189","1,103",
"15","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ","강용수 지음","유노콘텐츠그룹","2023","","9791192300818","03160","165.47","1,090",
"16","게으른 완벽주의자를 위한 심리학 :미루기의 악순환에서 벗어나고 싶은 당신을 위한 심리 처방 ","헤이든 핀치 지음 ;이은정 옮김","시크릿하우스","2022","","9791192312200","03180","181.9","1,060",
"17","기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업 ","레몬심리 지음 ;박영란 옮김","웅진씽크빅","2020","","9788901243658","03180","181.71","1,048",
"18","불안한 완벽주의자를 위한 책 :자기증명과 인정욕구로부터 벗어나는 10가지 심리학 기술 ","마이클 투히그,이진 옮김","수오서재","2023","","9791190382991","03180","182.1","992",
"19","프레임 :나를 바꾸는 심리학의 지혜 ","최인철 지음","21세기북스(북이십일 21세기북스)","2016","","9788950966447","03320","189","984",
"20","남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집 ","아르투어 쇼펜하우어 지음 ;박제헌 옮김","Page2(페이지2북스)","2023","","9791169850445","03100","165.47","960",
"21","내면소통 =삶의 변화를 가져오는 마음근력 훈련/Inner communication","김주환 지음","인플루엔셜","2023","","9791168340855","03400","189.1","935",
"22","매우 예민한 사람들을 위한 책 :뇌과학과 정신의학이 들려주는 당신 마음에 대한 이야기 ","전홍진 지음","글항아리","2020","","9788967358020","03180","186.3","931",
"23","철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ","야마구치 슈 지음 ;김윤경 옮김","다산북스","2019","","9791130620459","03100","100","910",
"24","생각이 너무 많은 어른들을 위한 심리학 :후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들 ","김혜남 지음","메이븐","2023","","9791190538602","03180","186.5","902",
"25","이어령의 마지막 수업 ","김지수 지음","열림원","2021","","9791170400523","03100","199.1","884",
