검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,총류
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리","채사장 (지은이)","웨일북","2020","1","9791190313186","","001.3","1,980",
"2","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","","9791190313131","03100","001.3","1,270",
"3","지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실을 통찰하게 하는 지식 여행서","채사장 지음","Whale Books(웨일북)","2020","2","9791190313193","03100","001.3","1,171",
"4","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2014","1","9788994120966","13100","001.3","1,068",
"5","세상은 이야기로 만들어졌다 :신화·거짓말·유토피아 ","자미라 엘 우아실,김현정 옮김","원더박스","2023","","9791192953151","03300","001.3","892",
"6","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2014","","9788994120966","13100","001.3","879",
"7","에디토리얼 씽킹 =모든 것이 다 있는 시대의 창조적 사고법 /Editorial thinking ","최혜진 지음","Turtleneck Press(터틀넥프레스)","2023","","9791198340924","03600","011.4","843",
"8","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2015","2","9788994120997","13100","001.3","842",
"9","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","0","9791190313131","03100","001.3","790",
"10","(비전공자를 위한 이해할 수 있는) IT 지식 ","최원영 지음","T.W.I.G(티더블유아이지)","2020","","9791196918033","13000","004","689",
"11","혼자 공부하는 컴퓨터구조 + 운영체제 :1:1 과외하듯 배우는 컴퓨터 공학 전공 지식 자습서 ","강민철 지음","한빛미디어","2022","","9791162243091","94000","004","676",
"12","(면접을 위한) CS 전공지식 노트 =Computer science note ","주홍철 지음","길벗","2022","","9791165219529","93000","005.138","673",
"13","(진짜 쓰는) 실무 엑셀 ","전진권 지음","Jpup(제이펍)","2022","","9791191600704","13000","005.53","583",
"14","생각을 바꾸는 생각들 :유발 하라리부터 조던 피터슨까지 이 시대 대표 지성 134인과의 가장 지적인 대화 ","비카스 샤 지음 ;임경은 옮김","인플루엔셜","2021","","9791191056853","03300","001.3","537",
"15","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","3","9791190313131","03100","001.3","534",
"16","이것이 취업을 위한 코딩 테스트다 with 파이썬 :취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드 ","나동빈 지음","한빛미디어","2020","","9791162243077","93000","005.133","520",
"17","회사는 엑셀을 가르쳐주지 않아요 ","쏘피 지음","메가스터디","2022","","9791129708328","13000","005.53","485",
